Datetime,Indeks,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-06-19 00:00:00+00:00,1,65146.66015625,65146.66015625,65146.66015625,65146.66015625,65146.66015625,0,0.0,0.0
2024-06-19 00:02:00+00:00,2,65104.8671875,65104.8671875,65104.8671875,65104.8671875,65104.8671875,0,0.0,0.0
2024-06-19 00:03:00+00:00,3,65088.1171875,65088.1171875,65088.1171875,65088.1171875,65088.1171875,0,0.0,0.0
2024-06-19 00:05:00+00:00,4,65122.58203125,65122.58203125,65122.58203125,65122.58203125,65122.58203125,1351680,0.0,0.0
2024-06-19 00:06:00+00:00,5,65122.58203125,65122.58203125,65122.58203125,65122.58203125,65122.58203125,0,0.0,0.0
2024-06-19 00:08:00+00:00,6,65089.078125,65089.078125,65089.078125,65089.078125,65089.078125,0,0.0,0.0
2024-06-19 00:09:00+00:00,7,65106.54296875,65106.54296875,65106.54296875,65106.54296875,65106.54296875,19578880,0.0,0.0
2024-06-19 00:10:00+00:00,8,65065.2109375,65065.2109375,65065.2109375,65065.2109375,65065.2109375,18567168,0.0,0.0
2024-06-19 00:11:00+00:00,9,65042.70703125,65042.70703125,65042.70703125,65042.70703125,65042.70703125,4190208,0.0,0.0
2024-06-19 00:12:00+00:00,10,65023.06640625,65023.06640625,65023.06640625,65023.06640625,65023.06640625,4468736,0.0,0.0
2024-06-19 00:14:00+00:00,11,65022.4375,65022.4375,65022.4375,65022.4375,65022.4375,0,0.0,0.0
2024-06-19 00:15:00+00:00,12,65032.66796875,65032.66796875,65032.66796875,65032.66796875,65032.66796875,0,0.0,0.0
2024-06-19 00:17:00+00:00,13,64952.8359375,64952.8359375,64952.8359375,64952.8359375,64952.8359375,11616256,0.0,0.0
2024-06-19 00:18:00+00:00,14,64956.83984375,64956.83984375,64956.83984375,64956.83984375,64956.83984375,241664,0.0,0.0
2024-06-19 00:20:00+00:00,15,64930.828125,64930.828125,64930.828125,64930.828125,64930.828125,21663744,0.0,0.0
2024-06-19 00:21:00+00:00,16,64916.5390625,64916.5390625,64916.5390625,64916.5390625,64916.5390625,3145728,0.0,0.0
2024-06-19 00:23:00+00:00,17,64892.0,64892.0,64892.0,64892.0,64892.0,0,0.0,0.0
2024-06-19 00:24:00+00:00,18,64887.02734375,64887.02734375,64887.02734375,64887.02734375,64887.02734375,5345280,0.0,0.0
2024-06-19 00:26:00+00:00,19,64909.45703125,64909.45703125,64909.45703125,64909.45703125,64909.45703125,20914176,0.0,0.0
2024-06-19 00:27:00+00:00,20,64877.59765625,64877.59765625,64877.59765625,64877.59765625,64877.59765625,0,0.0,0.0
2024-06-19 00:29:00+00:00,21,64882.3515625,64882.3515625,64882.3515625,64882.3515625,64882.3515625,21639168,0.0,0.0
2024-06-19 00:30:00+00:00,22,64866.9921875,64866.9921875,64866.9921875,64866.9921875,64866.9921875,3153920,0.0,0.0
2024-06-19 00:32:00+00:00,23,64870.9375,64870.9375,64870.9375,64870.9375,64870.9375,0,0.0,0.0
2024-06-19 00:33:00+00:00,24,64895.69140625,64895.69140625,64895.69140625,64895.69140625,64895.69140625,0,0.0,0.0
2024-06-19 00:34:00+00:00,25,64911.81640625,64911.81640625,64911.81640625,64911.81640625,64911.81640625,0,0.0,0.0
2024-06-19 00:35:00+00:00,26,64912.23828125,64912.23828125,64912.23828125,64912.23828125,64912.23828125,13103104,0.0,0.0
2024-06-19 00:36:00+00:00,27,64916.859375,64916.859375,64916.859375,64916.859375,64916.859375,3346432,0.0,0.0
2024-06-19 00:37:00+00:00,28,64952.71484375,64952.71484375,64952.71484375,64952.71484375,64952.71484375,0,0.0,0.0
2024-06-19 00:38:00+00:00,29,64921.4453125,64921.4453125,64921.4453125,64921.4453125,64921.4453125,0,0.0,0.0
2024-06-19 00:39:00+00:00,30,64920.17578125,64920.17578125,64920.17578125,64920.17578125,64920.17578125,6012928,0.0,0.0
2024-06-19 00:40:00+00:00,31,64913.7890625,64913.7890625,64913.7890625,64913.7890625,64913.7890625,0,0.0,0.0
2024-06-19 00:41:00+00:00,32,64918.83984375,64918.83984375,64918.83984375,64918.83984375,64918.83984375,0,0.0,0.0
2024-06-19 00:42:00+00:00,33,64947.1015625,64947.1015625,64947.1015625,64947.1015625,64947.1015625,0,0.0,0.0
2024-06-19 00:43:00+00:00,34,64946.46875,64946.46875,64946.46875,64946.46875,64946.46875,0,0.0,0.0
2024-06-19 00:44:00+00:00,35,64956.82421875,64956.82421875,64956.82421875,64956.82421875,64956.82421875,0,0.0,0.0
2024-06-19 00:45:00+00:00,36,64962.5546875,64962.5546875,64962.5546875,64962.5546875,64962.5546875,0,0.0,0.0
2024-06-19 00:47:00+00:00,37,65095.8046875,65095.8046875,65095.8046875,65095.8046875,65095.8046875,0,0.0,0.0
2024-06-19 00:48:00+00:00,38,65075.68359375,65075.68359375,65075.68359375,65075.68359375,65075.68359375,0,0.0,0.0
2024-06-19 00:50:00+00:00,39,65048.18359375,65048.18359375,65048.18359375,65048.18359375,65048.18359375,0,0.0,0.0
2024-06-19 00:51:00+00:00,40,65074.01953125,65074.01953125,65074.01953125,65074.01953125,65074.01953125,0,0.0,0.0
2024-06-19 00:52:00+00:00,41,65061.234375,65061.234375,65061.234375,65061.234375,65061.234375,0,0.0,0.0
2024-06-19 00:54:00+00:00,42,65065.6015625,65065.6015625,65065.6015625,65065.6015625,65065.6015625,0,0.0,0.0
2024-06-19 00:56:00+00:00,43,65116.9453125,65116.9453125,65116.9453125,65116.9453125,65116.9453125,0,0.0,0.0
2024-06-19 00:57:00+00:00,44,65157.25390625,65157.25390625,65157.25390625,65157.25390625,65157.25390625,0,0.0,0.0
2024-06-19 00:59:00+00:00,45,65148.921875,65148.921875,65148.921875,65148.921875,65148.921875,0,0.0,0.0
2024-06-19 01:00:00+00:00,46,65126.4765625,65126.4765625,65126.4765625,65126.4765625,65126.4765625,0,0.0,0.0
2024-06-19 01:01:00+00:00,47,65139.00390625,65139.00390625,65139.00390625,65139.00390625,65139.00390625,0,0.0,0.0
2024-06-19 01:02:00+00:00,48,65166.21484375,65166.21484375,65166.21484375,65166.21484375,65166.21484375,0,0.0,0.0
2024-06-19 01:03:00+00:00,49,65219.125,65219.125,65219.125,65219.125,65219.125,0,0.0,0.0
2024-06-19 01:04:00+00:00,50,65234.484375,65234.484375,65234.484375,65234.484375,65234.484375,0,0.0,0.0
2024-06-19 01:06:00+00:00,51,65327.37109375,65327.37109375,65327.37109375,65327.37109375,65327.37109375,31047680,0.0,0.0
2024-06-19 01:08:00+00:00,52,65315.76171875,65315.76171875,65315.76171875,65315.76171875,65315.76171875,0,0.0,0.0
2024-06-19 01:09:00+00:00,53,65346.14453125,65346.14453125,65346.14453125,65346.14453125,65346.14453125,7929856,0.0,0.0
2024-06-19 01:11:00+00:00,54,65333.79296875,65333.79296875,65333.79296875,65333.79296875,65333.79296875,16195584,0.0,0.0
2024-06-19 01:12:00+00:00,55,65339.4921875,65339.4921875,65339.4921875,65339.4921875,65339.4921875,3112960,0.0,0.0
2024-06-19 01:14:00+00:00,56,65366.15234375,65366.15234375,65366.15234375,65366.15234375,65366.15234375,25108480,0.0,0.0
2024-06-19 01:15:00+00:00,57,65323.0703125,65323.0703125,65323.0703125,65323.0703125,65323.0703125,20135936,0.0,0.0
2024-06-19 01:16:00+00:00,58,65265.58984375,65265.58984375,65265.58984375,65265.58984375,65265.58984375,14761984,0.0,0.0
2024-06-19 01:17:00+00:00,59,65318.359375,65318.359375,65318.359375,65318.359375,65318.359375,76439552,0.0,0.0
2024-06-19 01:18:00+00:00,60,65414.35546875,65414.35546875,65414.35546875,65414.35546875,65414.35546875,15298560,0.0,0.0
2024-06-19 01:19:00+00:00,61,65449.32421875,65449.32421875,65449.32421875,65449.32421875,65449.32421875,0,0.0,0.0
2024-06-19 01:20:00+00:00,62,65435.94921875,65435.94921875,65435.94921875,65435.94921875,65435.94921875,73543680,0.0,0.0
2024-06-19 01:21:00+00:00,63,65418.41015625,65418.41015625,65418.41015625,65418.41015625,65418.41015625,8921088,0.0,0.0
2024-06-19 01:22:00+00:00,64,65336.80859375,65336.80859375,65336.80859375,65336.80859375,65336.80859375,10752000,0.0,0.0
2024-06-19 01:23:00+00:00,65,65309.4296875,65309.4296875,65309.4296875,65309.4296875,65309.4296875,35655680,0.0,0.0
2024-06-19 01:24:00+00:00,66,65264.34765625,65264.34765625,65264.34765625,65264.34765625,65264.34765625,0,0.0,0.0
2024-06-19 01:26:00+00:00,67,65239.875,65239.875,65239.875,65239.875,65239.875,0,0.0,0.0
2024-06-19 01:27:00+00:00,68,65267.1953125,65267.1953125,65267.1953125,65267.1953125,65267.1953125,757760,0.0,0.0
2024-06-19 01:29:00+00:00,69,65236.3984375,65236.3984375,65236.3984375,65236.3984375,65236.3984375,0,0.0,0.0
2024-06-19 01:30:00+00:00,70,65179.6484375,65179.6484375,65179.6484375,65179.6484375,65179.6484375,0,0.0,0.0
2024-06-19 01:31:00+00:00,71,65096.4921875,65096.4921875,65096.4921875,65096.4921875,65096.4921875,0,0.0,0.0
2024-06-19 01:32:00+00:00,72,65070.3984375,65070.3984375,65070.3984375,65070.3984375,65070.3984375,0,0.0,0.0
2024-06-19 01:33:00+00:00,73,65015.28515625,65015.28515625,65015.28515625,65015.28515625,65015.28515625,0,0.0,0.0
2024-06-19 01:35:00+00:00,74,65073.4296875,65073.4296875,65073.4296875,65073.4296875,65073.4296875,0,0.0,0.0
2024-06-19 01:36:00+00:00,75,65117.7421875,65117.7421875,65117.7421875,65117.7421875,65117.7421875,0,0.0,0.0
2024-06-19 01:37:00+00:00,76,65161.33984375,65161.33984375,65161.33984375,65161.33984375,65161.33984375,0,0.0,0.0
2024-06-19 01:38:00+00:00,77,65158.32421875,65158.32421875,65158.32421875,65158.32421875,65158.32421875,0,0.0,0.0
2024-06-19 01:39:00+00:00,78,65127.32421875,65127.32421875,65127.32421875,65127.32421875,65127.32421875,0,0.0,0.0
